Mon Amour,Annalisa
DNA,Sophie and the Giants, MEARSY
Nowhere to Go,Lee Isaacs
Ci pensiamo domani,Angelina Mango
Due Vite,Marco Mengoni
VETRI NERI,E
Un Briciolo Di Allegria (con MINA),BLANCO, Mina
CENERE,Lazza
Chemical,E
SUPEREROI,Mr.Rain
Non litighiamo più,Rocco Hunt
Gelosa (feat. Shiva, Sfera Ebbasta, Guè),Finesse, Shiva, Sfera Ebbasta, Guè
Eyes Closed,Ed Sheeran
Bellissima,Annalisa
IL BENE NEL MALE,E
Tropicana (feat. Annalisa),Boomdabash, Annalisa
Un bacio all'improvviso,Rocco Hunt, Ana Mena
Cialde,Zero Assoluto
LA DOLCE VITA,Fedez, Tananai, Mara Sattei
ORIGAMI ALL'ALBA - CLARA,Matteo Paolillo - Icaro, Lolloflow, CLARA
Extasi,Fred De Palma
Shakerando,E
MADE IN ITALY,E
Movimento lento (feat. Federico Rossi),Annalisa, Federico Rossi
A Un Passo Dalla Luna,Rocco Hunt, Ana Mena
Due,Elodie
Heaven,Boomdabash, Eiffel 65
Capri Sun,E
MILLE – feat. Orietta Berti,Fedez, Achille Lauro, Orietta Berti
Mezzanotte,Ana Mena
Giovani Wannabe,Pinguini Tattici Nucleari
Ovunque Sarai,Irama
Un altro ballo (feat. Anitta),Fred De Palma, Anitta
Furore,Paola & Chiara
ABISSALE,Tananai
Ma stasera,Marco Mengoni
LA CODA DEL DIAVOLO (con ELODIE),Rkomi, Elodie
LUNA PIENA (con IRAMA),E
Secrets,Paul Damixie
L'ADDIO,Coma_Cose
Ricordi,Pinguini Tattici Nucleari
farfalle,sangiovanni
PANICO (feat. Takagi & Ketra),E
s!r! (feat. Lazza & Sfera Ebbasta),E
Bolero (feat. MIKA),Baby K, MIKA
Fantastica,Rocco Hunt, Boomdabash
Mi Fiderò (feat. Madame),Marco Mengoni, Madame
NOTTI BLU,Alessandra Amoroso
Alba,Ultimo
Arai (feat. Capo Plaza),E
L'Isola Delle Rose,E
Muovilo Baby,E
Se poi domani,LDA
Dove Si Balla,Dargen D'Amico