Mi fai impazzire,Blanco & Sfera Ebbasta
Malibù,Sangiovanni
Notti in bianco,Blanco
La canzone nostra,Mace & Blanco & Salmo
Mille,Fedez & Achille Lauro & Orietta Berti
Cold heart,[pnau remix],Elton John & Dua Lipa
Pepas,Farruko
Stay,The Kid Laroi & Justin Bieber
Zitti e buoni,Maneskin
Musica leggerissima,Colapesce & Dimartino
Nuovo range,Rkomi & Sfera Ebbasta & Junior K
Scrivile scemo,Pinguini Tattici Nucleari
Bad habits,Ed Sheeran
Un bacio all'improvviso,Rocco Hunt & Ana Mena
Tu mi hai capito,Madame & Sfera Ebbasta
Baby,Sfera Ebbasta & J Balvin
Lady,Sangiovanni
Easy on me,Adele
Kumite,Salmo
Ma stasera,Marco Mengoni
Save your tears,The Weeknd
Blu celeste,Blanco
Luna piena,Rkomi & Irama & Shablo
Paraocchi,Blanco
Partire da te,Rkomi
Come nelle canzoni,Coez
Makumba,Noemi & Carl Brave
Movimento lento,Annalisa feat. Federico Rossi
Ti raggiungerò,Fred De Palma
Friday,[dopamine re-edit],Riton & Nightcrawlers feat. Mufasa & Hypeman
Ferma a guardare,Ernia feat. Pinguini Tattici Nucleari
Venere e Marte,Takagi e Ketra & Marco Mengoni & Frah Quintale,[#1]
Scooby Doo,Pinguini Tattici Nucleari
I wanna be your slave,Maneskin
My universe,Coldplay & BTS
Voce,Madame
Marea,Madame
Shivers,Ed Sheeran
Never going home,Kungs
La più bella,Mecna & CoCo
La genesi del tuo colore,Irama
All I want for Christmas is you,[r],Mariah Carey
Vertigine,Elodie
Loca,Aka 7even
Chiamami per nome,Francesca Michielin & Fedez,[#2]
Vent'anni,Maneskin
Una canzone d'amore buttata via,Vasco Rossi,[#1]
Mohicani,BoomDaBash & Baby K,[#5]
Your love (9 PM),ATB & Topic & A7S,[#9]
Iko iko,Justin Wellington feat. Small Jam,[#6]
Don't go yet,Camila Cabello
uNa DiReZioNe giUsTa,Yungest Moonstar & Neffa & tha Supreme
Un altro ballo,Fred De Palma feat. Anitta
Pistolero,Elettra Lamborghini
Siamo qui,Vasco Rossi
Meglio del cinema,Fedez
Fireworks,Purple Disco Machine feat. Moss Kena & Knocks,[#11]
Paradise,Meduza feat. Dermot Kennedy
Dopamine,Purple Disco Machine feat. Eyelar
Peaches,Justin Bieber feat. Daniel Caesar & Giveon,[#6]
Thats what I want,Lil Nas X
Industry baby,Lil Nas X & Jack Harlow
Don't worry,BoomDaBash
Cambia un uomo,Marco Mengoni
Love tonight,Shouse
Salsa,J-Ax & Jake La Furia,[#4]
Rubini,Mahmood & Elisa
Angelina Jolie,Bresh
Magari no,Tommaso Paradiso
Mi manchi,Aka 7even,[#8]
Mammamia,Maneskin
Shimmy Shimmy,Takagi & Ketra & Giusy Ferreri,[#8]
Moth to a flame,Swedish House Mafia & The Weeknd
L'ultima notte,Ariete
Take my breath,The Weeknd
Dieci,Annalisa,[#6]
Slatt,Rondodasosa feat. Capo Plaza
Afterglow,Ed Sheeran
Run,OneRepublic,[#17]
We are the people,Martin Garrix feat. Bono & the Edge,[#3]
Higher power,Coldplay,[#12]
Wallah,Ghali
Fiamme negli occhi,Coma_Cose
Lipstick,Kungs
Pezzo di cuore,Emma & Alessandra Amoroso,[#1]
Bed,Joel Corry & Raye & David Guetta,[#12]
Melodia proibita,Irama
Inuyasha,Mahmood,[#5]
Montero (Call me by your name),Lil Nas X
Lucciole,Blanco
Bongo cha cha cha,Goodboys
Concedimi,Matteo Romano
Leave the door open,Bruno Mars & Anderson .Paak & Silk Sonic,[#14]
Take you dancing,Jason Derulo
Follow you,Imagine Dragons,[#16]
Quello che fa male,LDA
0 passi,Deddy,[#13]
Glicine,Noemi,[#7]
Golden nights,Sophie and The Giants feat. Benny Benassi & Dardust & Astrality
Beautiful mistakes,Maroon 5 & Megan Thee Stallion,[#22]